,x,y,hue,year,type,name,region,opacity
0,-9.403451,19.49536,3,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
1,-10.772457,5.1864915,3,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
2,19.623117,-32.188446,13,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
3,40.41143,-51.351776,0,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
4,-6.2713656,-3.0394588,6,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
5,-13.53402,-25.910065,39,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
6,-11.0020075,-44.045013,39,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
7,-21.01473,-65.86675,39,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
8,4.446597,-35.23201,39,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
9,-13.816991,-26.62675,39,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
10,-31.770195,30.19768,15,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
11,-27.502392,-6.991579,31,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
12,-8.003617,75.820595,11,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
13,-51.120205,-13.384365,24,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
14,-31.868929,52.06671,36,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
15,-22.292479,39.322052,3,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
16,49.553825,39.438423,20,2007.0,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,0.855072463768116
17,53.778378,11.822899,12,2007.0,Free Trade Agreement,Egypt - Turkey,Africa; Europe,0.855072463768116
